"Breast_MB","Breast_TCGA and Breast_MB","Breast_TCGA","Lung","Thyroid","Lung and Breast_TCGA and Breast_MB","Lung and Breast_MB","Lung and Breast_TCGA","Thyroid and Breast_TCGA","Thyroid and Breast_MB","Thyroid and Breast_TCGA and Breast_MB","Prostate","Kidney","Thyroid and Lung","Kidney and Breast_TCGA and Breast_MB","Prostate and Breast_MB","Thyroid and Lung and Breast_MB","Prostate and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA","Lung and Thyroid and Breast_TCGA and Breast_MB","Prostate and Lung","Prostate and Breast_TCGA","Lung and Thyroid and Breast_TCGA","Kidney and Breast_MB","Lung and Prostate and Breast_TCGA and Breast_MB"
"BACE2","BSN","C16ORF74","DPM3","PLLP","","","","","","","","","","","","","","","","","","","","",""
"BAG3","BTF3","C17ORF51","DRAP1","PNMA6A","","","","","","","","","","","","","","","","","","","","",""
"BAG4","BTG3","C18ORF54","DRP2","POLDIP2","","","","","","","","","","","","","","","","","","","","",""
"BAIAP2-AS1","BTN3A2","C19ORF25","DUS1L","PPBP","","","","","","","","","","","","","","","","","","","","",""
"BAMBI","BTRC","C19ORF70","E2F4","PPIF","","","","","","","","","","","","","","","","","","","","",""
"BATF3","BUB1","C1ORF27","EFCAB14","PPP1R10","","","","","","","","","","","","","","","","","","","","",""
"BBS1","BYSL","C1ORF56","EHF","PPP4R1","","","","","","","","","","","","","","","","","","","","",""
"BBS4","C10ORF10","C1QTNF6","EIF1AD","PQLC2L","","","","","","","","","","","","","","","","","","","","",""
"BCAM","C11ORF52","C2ORF54","EIF2AK1","PRDM6","","","","","","","","","","","","","","","","","","","","",""
"BCAR3","C12ORF10","C2ORF70","EIF4EBP1","PRPF38B","","","","","","","","","","","","","","","","","","","","",""
"BCAS4","C15ORF39","C4ORF46","ELF1","PTPDC1","","","","","","","","","","","","","","","","","","","","",""
"BCAT2","C16ORF58","C5AR2","EMC9","RAB3A","","","","","","","","","","","","","","","","","","","","",""
"BCL2","C16ORF87","C5ORF38","ENC1","RAD23B","","","","","","","","","","","","","","","","","","","","",""
"BCL2L1","C17ORF75","C5ORF45","EPM2A","RAG2","","","","","","","","","","","","","","","","","","","","",""
"BCOR","C17ORF97","C5ORF63","ERAP1","RALGDS","","","","","","","","","","","","","","","","","","","","",""
"BCYRN1","C1ORF106","C6ORF120","ERAP2","RNF125","","","","","","","","","","","","","","","","","","","","",""
"BHLHE40","C1ORF64","C6ORF141","ERMAP","RSPH9","","","","","","","","","","","","","","","","","","","","",""
"BIK","C1R","C6ORF226","ESRRA","SDHA","","","","","","","","","","","","","","","","","","","","",""
"BIN1","C1S","C7ORF13","EXOC3-AS1","SFRP5","","","","","","","","","","","","","","","","","","","","",""
"BMI1","C21ORF2","C7ORF60","F11","SIX2","","","","","","","","","","","","","","","","","","","","",""
"BMP4","C2ORF40","C8ORF48","F13A1","SLC39A10","","","","","","","","","","","","","","","","","","","","",""
"BNIPL","C2ORF88","C9ORF172","F2RL1","SNX1","","","","","","","","","","","","","","","","","","","","",""
"BOLA3","C4ORF32","CA14","F8","SNX16","","","","","","","","","","","","","","","","","","","","",""
"BOP1","C5ORF30","CACNA1F","FAAP100","SPTB","","","","","","","","","","","","","","","","","","","","",""
"BPIFB1","C6ORF1","CACNA2D1","FAM13B","SSX2","","","","","","","","","","","","","","","","","","","","",""
"BRD8","C9ORF116","CADM1","FAM219A","STARD5","","","","","","","","","","","","","","","","","","","","",""
"BRI3","CA12","CADM3","FAM71D","SUPT20H","","","","","","","","","","","","","","","","","","","","",""
"BRI3BP","CACFD1","CAMK1","FAM89B","TARP","","","","","","","","","","","","","","","","","","","","",""
"BRINP2","CACHD1","CAMK4","FASTK","TBCE","","","","","","","","","","","","","","","","","","","","",""
"BTBD11","CACNA1H","CAMKK1","FBRSL1","THEM6","","","","","","","","","","","","","","","","","","","","",""
"BTG1","CACNA2D2","CAMKMT","FBXL3","TIAM1","","","","","","","","","","","","","","","","","","","","",""
"BTG2","CAD","CAPN11","FBXO43","TJP2","","","","","","","","","","","","","","","","","","","","",""
"BUB3","CALB2","CAPN5","FBXO7","TMEM147","","","","","","","","","","","","","","","","","","","","",""
"BZRAP1","CALD1","CARD14","FBXW11","TMEM155","","","","","","","","","","","","","","","","","","","","",""
"C10ORF54","CALML3","CASC15","FCHSD2","TMEM243","","","","","","","","","","","","","","","","","","","","",""
"C11ORF49","CALU","CATSPERB","FGD2","TMEM63B","","","","","","","","","","","","","","","","","","","","",""
"C11ORF73","CAPN8","CBLN4","FGF14","TMEM87A","","","","","","","","","","","","","","","","","","","","",""
