Gene,FC,Source
SATB1,2,Breast_TCGA
SCGB2A1,2,Breast_TCGA
SCUBE2,2,Breast_TCGA
SDK2,2,Breast_TCGA
SEL1L3,2,Breast_TCGA
SEPT3,2,Breast_TCGA
SERPINA11,2,Breast_TCGA
SERPINB5,2,Breast_TCGA
SFRP1,2,Breast_TCGA
SHC4,2,Breast_TCGA
SHROOM1,2,Breast_TCGA
SLC27A2,2,Breast_TCGA
SLC27A6,2,Breast_TCGA
SLC30A8,2,Breast_TCGA
SLC34A2,2,Breast_TCGA
SLC44A4,2,Breast_TCGA
SLC6A14,2,Breast_TCGA
SLC7A8,2,Breast_TCGA
SLFN13,2,Breast_TCGA
SNAI2,2,Breast_TCGA
SOSTDC1,2,Breast_TCGA
SOX10,2,Breast_TCGA
SOX11,2,Breast_TCGA
SPDEF,2,Breast_TCGA
ST8SIA1,2,Breast_TCGA
ST8SIA2,2,Breast_TCGA
STAC,2,Breast_TCGA
STAC2,2,Breast_TCGA
STK32B,2,Breast_TCGA
SYN2,2,Breast_TCGA
SYNM,2,Breast_TCGA
SYNPO2,2,Breast_TCGA
SYT17,2,Breast_TCGA
SYT8,2,Breast_TCGA
SYT9,2,Breast_TCGA
SYTL2,2,Breast_TCGA
TAF4B,2,Breast_TCGA
TBC1D9,2,Breast_TCGA
TCEAL1,2,Breast_TCGA
TCEAL3,2,Breast_TCGA
TCN1,2,Breast_TCGA
TENM2,2,Breast_TCGA
TF,2,Breast_TCGA
TFPI2,2,Breast_TCGA
TGFA,2,Breast_TCGA
TGFB2,2,Breast_TCGA
THSD4,2,Breast_TCGA
TICRR,2,Breast_TCGA
TINCR,2,Breast_TCGA
TMC4,2,Breast_TCGA
TMC5,2,Breast_TCGA
TMCC2,2,Breast_TCGA
TMEM108,2,Breast_TCGA
TMEM63C,2,Breast_TCGA
TMPRSS6,2,Breast_TCGA
TNC,2,Breast_TCGA
TNFSF11,2,Breast_TCGA
TNN,2,Breast_TCGA
TNS4,2,Breast_TCGA
TP63,2,Breast_TCGA
TRH,2,Breast_TCGA
TRIM29,2,Breast_TCGA
TSHZ2,2,Breast_TCGA
TSPYL5,2,Breast_TCGA
TTYH1,2,Breast_TCGA
UBD,2,Breast_TCGA
UGT8,2,Breast_TCGA
UNC13D,2,Breast_TCGA
UNC5A,2,Breast_TCGA
VGLL1,2,Breast_TCGA
VSNL1,2,Breast_TCGA
WT1,2,Breast_TCGA
XBP1,2,Breast_TCGA
YBX3,2,Breast_TCGA
ZCCHC11,2,Breast_TCGA
ZG16B,2,Breast_TCGA
ZMYND10,2,Breast_TCGA
ZNF518B,2,Breast_TCGA
ZNF521,2,Breast_TCGA
ZNF711,2,Breast_TCGA
